ParticipantID,VOICE_NUMBER,VOICE_TYPE,HEALTH,ATTRACTIVENESS
47,13,2,5.5,4.5
47,14,2,6.5,6.5
47,15,2,4,3
47,16,2,4,3
47,17,2,3.5,4
47,18,2,4.5,6
47,19,2,3.25,2
47,20,1,4.75,.285714285714286
76,1,1,5.25,4.5
76,2,1,5.25,4.5
76,3,1,4.25,3.5
76,4,1,5,4.5
76,5,1,4.75,4
76,6,1,4.75,4
76,7,1,5.25,5
76,8,1,4.5,2
76,9,1,4.5,2
76,10,2,5,.19047619047619
76,11,2,5.25,4
76,12,2,4.75,2.5
76,13,2,5.25,4.5
76,14,2,5.25,4
76,15,2,4.5,3.5
76,16,2,4.5,3.5
76,17,2,4.5,2.5
76,18,2,5,3.5
76,19,2,5.25,3.5
76,20,1,5,.166666666666667
110,1,1,6,6
110,2,1,7.25,3
110,3,1,7,3
110,4,1,7.25,3
110,5,1,6.5,4
110,6,1,6.5,4
110,7,1,3.25,1.5
110,8,1,5,2
110,9,1,3.75,2.5
110,10,2,2.75,.0476190476190476
110,11,2,4.25,2
110,12,2,5,1.5
110,13,2,7.5,5.5
110,14,2,2.75,1
110,15,2,5.75,3
110,16,2,5.75,3
110,17,2,3.25,1
110,18,2,5.5,3.5
110,19,2,4.25,1
110,20,1,2.5,.0714285714285714
114,1,1,6.75,5.5
114,2,1,4.75,5
114,3,1,4.75,5
114,4,1,5.75,5
114,5,1,6.25,5
114,6,1,6.25,5
114,7,1,4.5,5
114,8,1,4,5.5
114,9,1,5.5,5
114,10,2,3,.238095238095238
114,11,2,5.25,5
114,12,2,3,5.5
114,13,2,5.5,5
114,14,2,6.75,5
114,15,2,3.25,5
114,16,2,3.25,5
114,17,2,4.25,5.5
114,18,2,4.5,5
114,19,2,3.25,5
114,20,1,6.75,.261904761904762
127,1,1,7.25,6.5
127,2,1,8,5.5
127,3,1,7.25,4
127,4,1,6.25,5.5
127,5,1,5,2.5
127,6,1,5,2.5
127,7,1,1.25,5.5
127,8,1,2.5,8.5
127,9,1,3.75,8
127,10,2,4.25,.261904761904762
127,11,2,3.5,2.5
127,12,2,2,5.5
127,13,2,4.75,3.5
127,14,2,6.25,6.5
127,15,2,2,3
127,16,2,2,3
127,17,2,1.75,2.5
127,18,2,3.25,3
127,19,2,1.5,6.5
127,20,1,4.75,.238095238095238
18,1,1,5.75,7
18,2,1,5.5,7
18,3,1,6.75,6.5
18,4,1,5,6
18,5,1,6,6
18,6,1,6,6
18,7,1,5.25,7
18,8,1,5.5,6.5
18,9,1,4.5,6
18,10,2,5.5,.333333333333333
18,11,2,5.5,7.5
18,12,2,5.75,6
18,13,2,5.5,7.5
18,14,2,4.5,6.5
18,15,2,5,6
18,16,2,5,6
18,17,2,5,7
18,18,2,4.5,6.5
18,19,2,6,7
18,20,1,6,.357142857142857
37,1,1,5.25,6
37,2,1,4,1.5
37,3,1,6,5.5
37,4,1,6.5,3.5
37,5,1,5.25,3
37,6,1,5.25,3
37,7,1,5,2
37,8,1,7.5,5
37,9,1,3.75,4.5
37,10,2,3.5,.119047619047619
37,11,2,4.75,5
37,12,2,4.75,5
37,13,2,6,4
37,14,2,2.75,1.5
37,15,2,2.75,2.5
37,16,2,2.75,2.5
37,17,2,4.5,3
37,18,2,5.5,5.5
37,19,2,4,5
37,20,1,5.25,.0952380952380952
65,1,1,5.25,6.5
65,2,1,3.75,6
65,3,1,5,5.5
65,4,1,5.75,5.5
65,5,1,3.5,5.5
65,6,1,3.5,5.5
65,7,1,3.5,5
65,8,1,5.75,4.5
65,9,1,4.5,5.5
65,10,2,6.25,.357142857142857
65,11,2,6.75,7
65,12,2,4,2.5
65,13,2,6.5,6
65,14,2,6,5
65,15,2,2.5,2
65,16,2,2.5,2
65,17,2,5.75,4.5
65,18,2,4,5.5
65,19,2,5.5,4
65,20,1,6.25,.333333333333333
78,1,1,6.75,7
78,2,1,5,4
78,3,1,6.5,5.5
78,4,1,6.25,6.5
78,5,1,5.25,6
78,6,1,5.25,6
78,7,1,5,3.5
78,8,1,6,6
78,9,1,4.5,4.5
78,10,2,4,.214285714285714
78,11,2,4.5,5.5
78,12,2,5.5,6.5
78,13,2,6.5,6.5
78,14,2,5.5,7
78,15,2,4,3.5
78,16,2,4,3.5
78,17,2,5.25,5.5
78,18,2,6,5.5
78,19,2,6,5.5
78,20,1,3.5,.285714285714286
83,1,1,5.5,5.5
83,2,1,4,7
83,3,1,6,5
